year,week,is_blocking,closest_center_label,time
1978,49,0,,1978-12-03
1978,50,0,,1978-12-10
1978,51,0,,1978-12-17
1978,52,0,,1978-12-24
1979,1,0,,1979-01-01
1979,2,0,,1979-01-08
1979,3,0,,1979-01-15
1979,4,0,,1979-01-22
1979,5,0,,1979-01-29
1979,6,0,,1979-02-05
1979,7,0,,1979-02-12
1979,8,0,,1979-02-19
1979,9,0,,1979-02-26
1979,10,0,,1979-03-05
1979,11,0,,1979-03-12
1979,12,0,,1979-03-19
1979,13,0,,1979-03-26
1979,14,0,,1979-04-02
1979,15,0,,1979-04-09
1979,16,0,,1979-04-16
1979,17,0,,1979-04-23
1979,18,0,,1979-04-30
1979,19,0,,1979-05-07
1979,20,0,,1979-05-14
1979,21,0,,1979-05-21
1979,22,0,,1979-05-28
1979,23,0,,1979-06-04
1979,24,0,,1979-06-11
1979,25,0,,1979-06-18
1979,26,0,,1979-06-25
1979,27,0,,1979-07-02
1979,28,0,,1979-07-09
1979,29,0,,1979-07-16
1979,30,0,,1979-07-23
1979,31,0,,1979-07-30
1979,32,0,,1979-08-06
1979,33,0,,1979-08-13
1979,34,0,,1979-08-20
1979,35,1,N,1979-08-27
1979,36,1,N,1979-09-03
1979,37,0,,1979-09-10
1979,38,1,E,1979-09-17
1979,39,1,E,1979-09-24
1979,40,1,W,1979-10-01
1979,41,1,N,1979-10-08
1979,42,1,N,1979-10-15
1979,43,0,,1979-10-22
1979,44,0,,1979-10-29
1979,45,0,,1979-11-05
1979,46,0,,1979-11-12
1979,47,0,,1979-11-19
1979,48,0,,1979-11-26
1979,49,0,,1979-12-03
1979,50,0,,1979-12-10
1979,51,0,,1979-12-17
1979,52,0,,1979-12-24
1980,1,0,,1980-01-01
1980,2,0,,1980-01-08
1980,3,0,,1980-01-15
1980,4,0,,1980-01-22
1980,5,0,,1980-01-29
1980,6,0,,1980-02-05
1980,7,0,,1980-02-12
1980,8,0,,1980-02-19
1980,9,0,,1980-02-26
1980,10,0,,1980-03-04
1980,11,0,,1980-03-11
1980,12,0,,1980-03-18
1980,13,0,,1980-03-25
1980,14,0,,1980-04-01
1980,15,0,,1980-04-08
1980,16,0,,1980-04-15
1980,17,0,,1980-04-22
1980,18,0,,1980-04-29
1980,19,0,,1980-05-06
1980,20,0,,1980-05-13
1980,21,0,,1980-05-20
1980,22,0,,1980-05-27
1980,23,0,,1980-06-03
1980,24,0,,1980-06-10
1980,25,0,,1980-06-17
1980,26,0,,1980-06-24
1980,27,0,,1980-07-01
1980,28,0,,1980-07-08
1980,29,0,,1980-07-15
1980,30,0,,1980-07-22
1980,31,0,,1980-07-29
1980,32,0,,1980-08-05
1980,33,0,,1980-08-12
1980,34,1,S,1980-08-19
1980,35,0,,1980-08-26
1980,36,1,N,1980-09-02
1980,37,1,S,1980-09-09
1980,38,0,,1980-09-16
1980,39,0,,1980-09-23
1980,40,0,,1980-09-30
